Departamento,Provincia,Municipio,Ciudad / Comunidad,Total,Cañería de red,Pileta pública,Carro repartidor (aguatero),Pozo o noria con bomba,Pozo o noria sin bomba,"Lluvia, río, vertiente, acequia","Lago, laguna, curichi",Total,Al alcantarillado,A una cámara séptica,A un pozo ciego,A la calle,"A la quebrada, río","A un lago, laguna, curichi",Total,Red de empresa eléctrica (servicio público),Motor propio,Panel solar,Otra,No tiene
Chuquisaca,Oropeza,Sucre,SUCRE,63108,55 811,4 479,1 395,540,352,467,64,55 623,53 726,544,646,363,342,2,63 108,61 180,141,14,140,1 633
Chuquisaca,Oropeza,Sucre,KORA KORA,229,42,24,9,47,16,81,10,54,2,10,36,4,2,0,229,134,1,0,0,94
Chuquisaca,Oropeza,Sucre,LA PALMA,77,58,2,0,10,1,6,0,53,0,5,48,0,0,0,77,70,0,0,0,7
Chuquisaca,Oropeza,Sucre,ALTO KORA KORA,17,5,2,0,9,0,1,0,8,0,0,8,0,0,0,17,14,0,0,0,3
Chuquisaca,Oropeza,Sucre,CARAVIRI,33,30,1,0,0,0,2,0,25,0,24,1,0,0,0,33,1,0,0,0,32
Chuquisaca,Oropeza,Sucre,CHULLPAS,31,0,0,0,0,0,30,1,0,0,0,0,0,0,0,31,0,0,0,0,31
Chuquisaca,Oropeza,Sucre,JANAC KUCHU,50,43,0,0,0,0,7,0,40,0,1,39,0,0,0,50,39,0,0,0,11
Chuquisaca,Oropeza,Sucre,POTOLO,232,173,7,0,2,17,33,0,146,137,4,4,1,0,0,232,154,0,0,11,67
Chuquisaca,Oropeza,Sucre,SACOPAYA,98,27,27,0,0,3,41,0,40,0,2,37,0,1,0,98,38,0,0,8,52
Chuquisaca,Oropeza,Sucre,SAYACA,28,18,2,1,1,0,6,0,0,0,0,0,0,0,0,28,0,0,2,0,26
Chuquisaca,Oropeza,Sucre,AMAKURI,64,41,15,0,0,1,7,0,40,9,0,31,0,0,0,64,26,0,0,0,38
Chuquisaca,Oropeza,Sucre,HUAYLLA PAMPA,24,13,5,0,0,1,5,0,6,0,0,6,0,0,0,24,7,0,0,0,17
Chuquisaca,Oropeza,Sucre,QUESERA,76,31,0,0,6,8,14,17,27,8,3,8,0,8,0,76,27,0,0,2,47
Chuquisaca,Oropeza,Sucre,SUNCHU PAMPA,16,15,0,0,0,0,1,0,1,0,1,0,0,0,0,16,0,0,0,3,13
Chuquisaca,Oropeza,Sucre,CKOLPA KUCHO,22,1,14,0,0,0,7,0,0,0,0,0,0,0,0,22,0,0,0,12,10
Chuquisaca,Oropeza,Sucre,TEJA MAYU,17,6,3,0,0,5,3,0,0,0,0,0,0,0,0,17,0,0,0,13,4
Chuquisaca,Oropeza,Sucre,TURQUICHI,44,8,10,0,0,4,22,0,1,0,1,0,0,0,0,44,3,0,0,0,41
Chuquisaca,Oropeza,Sucre,MARACORI,24,23,0,0,0,0,0,1,0,0,0,0,0,0,0,24,3,0,0,15,6
Chuquisaca,Oropeza,Sucre,EL CHACO,202,84,41,0,4,3,68,2,86,66,4,14,0,2,0,202,157,0,0,0,45
Chuquisaca,Oropeza,Sucre,PAREDON,79,66,6,0,0,2,5,0,68,1,1,66,0,0,0,79,74,0,0,2,3
Chuquisaca,Oropeza,Sucre,TEJA HUASI,102,86,4,0,0,0,12,0,59,0,3,56,0,0,0,102,89,0,0,0,13
Chuquisaca,Oropeza,Sucre,GUERRA LOMA,28,14,2,0,0,1,11,0,11,0,0,5,2,4,0,28,18,1,0,3,6
Chuquisaca,Oropeza,Sucre,KHATALLA BAJA,46,3,2,1,0,25,15,0,2,2,0,0,0,0,0,46,4,0,0,0,42
Chuquisaca,Oropeza,Sucre,SURIMA,193,183,1,0,1,0,7,1,98,3,9,86,0,0,0,193,177,0,0,0,16
Chuquisaca,Oropeza,Sucre,CHAUNACA,100,53,13,0,0,4,27,3,42,1,2,39,0,0,0,100,30,0,1,0,69
Chuquisaca,Oropeza,Sucre,CHUFLE,37,32,0,0,0,0,5,0,13,0,0,13,0,0,0,37,1,0,0,0,36
