Departamento,Provincia,Municipio,Ciudad / Comunidad,Total,0 años de edad,1 año de edad,2 años de edad,3 años de edad,4 años de edad,5 años de edad,6 años de edad,7 años de edad,8 años de edad,9 años de edad,10 años de edad,11 años de edad,12 años de edad,13 años de edad,14 años de edad,15 años de edad,16 años de edad,17 años de edad,18 años de edad,19 años de edad,20 a 24 años de edad,25 a 29 años de edad,30 a 34 años de edad,35 a 39 años de edad,40 a 44 años de edad,45 a 49 años de edad,50 a 54 años de edad,55 a 59 años de edad,60 a 64 años de edad,65 a 69 años de edad,70 a 74 años de edad,75 a 79 años de edad,80 a 84 años de edad,85 a 89 años de edad,90 a 94 años de edad,95 años y mas
La Paz,Murillo,La Paz,LA PAZ,758 845,11 268,11 490,12 553,13 432,13 610,11 332,11 214,11 627,11 880,11 668,12 404,12 190,13 500,12 957,13 007,13 256,13 734,14 873,15 644,14 758,75 038,65 158,65 372,54 978,49 586,40 890,38 311,29 759,26 351,18 835,13 968,9 415,8 337,4 213,1 603,634
La Paz,Murillo,La Paz,ALTO ACHACHICALA,63,0,0,0,0,0,1,1,1,1,2,2,1,2,0,2,2,0,0,0,2,4,5,8,5,3,1,6,4,3,4,1,1,1,0,0,0
La Paz,Murillo,La Paz,HAMPATURI,50,0,1,0,0,0,0,1,2,1,0,1,1,1,1,0,0,2,1,2,4,3,2,5,2,2,3,3,2,2,2,2,1,1,0,2,0
La Paz,Murillo,La Paz,UMA PALCA,86,3,4,1,4,4,2,1,2,0,2,2,1,0,2,1,4,0,1,4,1,13,9,6,2,2,3,4,3,2,2,0,1,0,0,0,0
La Paz,Murillo,La Paz,PONGO,341,5,5,1,5,7,9,3,2,7,6,8,4,14,12,5,6,7,3,2,4,34,28,32,20,31,16,18,8,13,7,6,9,2,1,1,0
La Paz,Murillo,La Paz,PANTINI,531,4,17,12,11,20,11,14,8,18,12,19,13,18,13,13,17,14,12,9,7,37,32,51,31,34,21,22,8,11,7,9,2,2,0,1,1
La Paz,Murillo,La Paz,ACHACHICALA CENTRO,144,1,0,1,0,2,3,3,1,3,2,4,3,3,3,4,5,2,2,1,3,11,6,11,17,12,7,4,11,6,6,4,2,1,0,0,0
La Paz,Murillo,La Paz,CARPANI,239,4,3,10,2,6,5,7,2,3,3,2,6,15,6,3,8,2,5,3,1,18,9,15,22,11,18,9,8,12,9,4,6,1,0,0,1
La Paz,Murillo,La Paz,CHOQUECHIHUANI,176,3,1,3,6,2,3,5,3,5,5,4,1,11,4,4,2,3,4,5,0,17,5,4,12,13,7,13,12,5,4,1,2,4,1,1,1
La Paz,Murillo,La Paz,LOROCOTA,322,1,5,4,6,3,6,4,6,7,7,10,13,7,8,8,6,6,6,3,3,19,19,20,32,19,13,12,14,15,12,14,7,6,0,1,0
