Departamento,Provincia,Municipio,Ciudad / Comunidad,Total Asistencia Escolar,"Si, auna pública","Si, a una privada","Si, a una de convenio",No asiste,Sin especificar,Total Idioma Aprendido,Castellano,Quechua,Aymara,Guaraní,Otros Idiomas Oficiales,Otros Idiomas,Idioma extranjero,Sin especificar,No habla
La Paz,Murillo,La Paz,LA PAZ,182529,98839,50473,17798,14405,1014,758845,643192,10700,68957,402,715,4,4580,7791,22504
La Paz,Murillo,La Paz,ALTO ACHACHICALA,16,13,0,0,3,0,63,18,0,4,0,6,0,0,35,0
La Paz,Murillo,La Paz,HAMPATURI,17,12,0,1,4,0,50,20,0,29,0,0,0,0,0,1
La Paz,Murillo,La Paz,UMA PALCA,21,18,1,0,2,0,86,47,1,36,0,0,0,0,0,2
La Paz,Murillo,La Paz,PONGO,83,71,4,1,7,0,341,231,0,92,1,0,0,0,7,10
La Paz,Murillo,La Paz,PANTINI,187,165,7,9,6,0,531,231,1,273,0,0,0,0,4,22
La Paz,Murillo,La Paz,ACHACHICALA CENTRO,39,31,2,0,6,0,144,33,0,111,0,0,0,0,0,0
La Paz,Murillo,La Paz,CARPANI,66,59,2,4,1,0,239,123,1,107,0,0,0,0,1,7
La Paz,Murillo,La Paz,CHOQUECHIHUANI,56,51,1,0,3,1,176,94,1,71,0,0,0,0,2,8
La Paz,Murillo,La Paz,LOROCOTA,94,82,1,1,10,0,322,174,5,132,0,0,0,0,3,8
La Paz,Murillo,La Paz,QUIÑUMA,89,78,1,0,10,0,304,130,1,163,0,0,0,0,4,6
La Paz,Murillo,La Paz,ACHACHICALA,39,30,0,1,8,0,165,53,0,109,0,0,0,0,0,3
La Paz,Murillo,La Paz,ORIGINARIA CHACALTAYA,39,33,0,0,6,0,151,38,0,109,0,0,0,0,0,4
La Paz,Murillo,La Paz,PALCOMA,124,101,4,8,11,0,417,176,0,226,0,0,0,0,5,10
La Paz,Murillo,La Paz,JACHA KORA,8,7,0,1,0,0,21,10,0,11,0,0,0,0,0,0
La Paz,Murillo,La Paz,SUNTURUTA,5,3,0,0,2,0,35,12,0,20,0,0,0,0,0,3
La Paz,Murillo,La Paz,HAMPATURI CHICO,31,28,0,1,2,0,91,36,0,47,0,0,0,0,2,6
La Paz,Murillo,La Paz,APAÑA,434,354,27,13,30,10,1288,685,12,532,1,1,0,2,11,44
La Paz,Murillo,La Paz,CAHUA GRANDE,32,15,10,1,5,1,122,84,3,30,0,0,0,0,1,4
La Paz,Murillo,La Paz,CANSIQUE,9,7,0,0,2,0,34,23,0,8,0,0,0,0,1,2
La Paz,Murillo,La Paz,CHIVIRAQUE,15,9,3,0,3,0,59,30,1,27,0,0,0,0,0,1
La Paz,Murillo,La Paz,COSCAPA,20,14,1,0,5,0,140,49,0,81,0,0,0,0,7,3
La Paz,Murillo,La Paz,HARCA,11,7,1,1,2,0,44,28,1,14,0,0,0,0,0,1
La Paz,Murillo,La Paz,HUAYLLIPAYA,27,24,3,0,0,0,100,59,0,39,0,0,0,0,2,0
La Paz,Murillo,La Paz,JACHA LOMA,13,9,0,0,4,0,51,16,1,33,0,0,0,0,1,0
La Paz,Murillo,La Paz,LLAULLINI,29,23,3,0,2,1,146,71,0,71,0,0,0,0,1,3
La Paz,Murillo,La Paz,ZONGO,12,10,0,1,1,0,63,16,0,20,0,0,0,0,27,0
La Paz,Murillo,La Paz,ISICANI,0,0,0,0,0,0,12,2,0,10,0,0,0,0,0,0
La Paz,Murillo,La Paz,CHORO TIQUIMANI,20,14,0,0,5,1,99,28,0,67,0,0,0,0,2,2
La Paz,Murillo,La Paz,CHUCURA BAJO,12,7,0,0,5,0,59,9,0,48,0,0,0,0,0,2
La Paz,Murillo,La Paz,COSCAPA BAJO,14,8,3,0,1,2,61,48,0,9,0,0,0,1,3,0
